PMID,Gene Name,Gene Type,Cell Name,Cell Type,Tissue Type,Experiment Type,Experimental Method,Title,Description of Gene,Interacting Gene,CellOntologyID
22590586,UPK3A,I Marker,Bladder carcinoma cell,Cancer cell,Bladder,low-throughput,RT-PCR;qRT-PCR;Microscopic observation;Western blot;Immunofluorescent staining;Immunohistochemistry;Gene knock down,"Loss of the Urothelial Differentiation Marker FOXA1 Is Associated with High Grade, Late Stage Bladder Cancer and Increased Tumor Proliferation","Knockdown of FOXA1 in RT4 bladder cancer cells resulted in increased expression of UPK1B, UPK2, UPK3A, and UPK3B, decreased E-cadherin expression and significantly increased cell proliferation, while overexpression of FOXA1 in T24 cells increased E-cadherin expression and significantly decreased cell growth and invasion",FOXA1,CL_0001064
22590586,UPK3B,I Marker,Bladder carcinoma cell,Cancer cell,Bladder,low-throughput,RT-PCR;qRT-PCR;Microscopic observation;Western blot;Immunofluorescent staining;Immunohistochemistry;Gene knock down,"Loss of the Urothelial Differentiation Marker FOXA1 Is Associated with High Grade, Late Stage Bladder Cancer and Increased Tumor Proliferation","Knockdown of FOXA1 in RT4 bladder cancer cells resulted in increased expression of UPK1B, UPK2, UPK3A, and UPK3B, decreased E-cadherin expression and significantly increased cell proliferation, while overexpression of FOXA1 in T24 cells increased E-cadherin expression and significantly decreased cell growth and invasion",FOXA1,CL_0001064
22751119,SLC10A4,I Marker,Stem cell,Cancer cell,Breast,low-throughput,Immunofluorescent staining;Weston blot;qRT-PCR;Flow cytometry,Progestin suppression of miR-29 potentiates dedifferentiation of breast cancer cells via KLF4,The SLC10A4 promotes the expansion of stem-like cancer cells in estrogen receptor (ER)- and progesterone receptor (PR)-positive breast tumors.,EREG;PGR;ESR1,CL_0000034
23645533,CDH5,I Marker,Stem cell,Cancer cell,Brain,low-throughput,qRT-PCR;qPCR;Western blot;Immunohistochemistry;Flow cytometry,CDH5 is specifically activated in glioblastoma stemlike cells and contributes to vasculogenic mimicry induced by hypoxia,A proportion of glioblastoma stemlike cells (GSCs) expressing endothelial cell marker CDH5 (vascular-endothelial-cadherin or CD144) can transdifferentiate into endothelial cells and form blood vessels.,CDH5,CL_0000034
23975422,RAC1,I Marker,Stem cell,Cancer cell,Breast,low-throughput,qPCR;RT-PCR;Western blot;Immunofluorescent staining;Immunohistochemistry;Microscopic observation,"IBP regulates epithelial-to-mesenchymal transition and the
motility of breast cancer cells via Rac1, RhoA and Cdc42
signaling pathways","In this study, we demonstrate that interferon regulatory factor 4 binding protein (IBP) regulates EMT and the motility of breast cancer cells through Rac1, RhoA and Cdc42 signaling pathways",SNAI1,CL_0000034
23975422,RHOA,I Marker,Stem cell,Cancer cell,Breast,low-throughput,qPCR;RT-PCR;Western blot;Immunofluorescent staining;Immunohistochemistry;Microscopic observation,"IBP regulates epithelial-to-mesenchymal transition and the
motility of breast cancer cells via Rac1, RhoA and Cdc42
signaling pathways","In this study, we demonstrate that interferon regulatory factor 4 binding protein (IBP) regulates EMT and the motility of breast cancer cells through Rac1, RhoA and Cdc42 signaling pathways",SNAI1,CL_0000034
23975422,CDC42,I Marker,Stem cell,Cancer cell,Breast,low-throughput,qPCR;RT-PCR;Western blot;Immunofluorescent staining;Immunohistochemistry;Microscopic observation,"IBP regulates epithelial-to-mesenchymal transition and the
motility of breast cancer cells via Rac1, RhoA and Cdc42
signaling pathways","In this study, we demonstrate that interferon regulatory factor 4 binding protein (IBP) regulates EMT and the motility of breast cancer cells through Rac1, RhoA and Cdc42 signaling pathways",SNAI1,CL_0000034
23975428,PEBP1,I Marker,Stem cell,Cancer cell,Breast,low-throughput,qRT-PCR;Western blot;Immunohistochemistry;Microscopic observation,"RKIP and HMGA2 regulate breast tumor survival and metastasis
through lysyl oxidase and syndecan-2","Previous studies from our laboratory identified the architectural transcription factor and oncogene, high mobility group AT-hook 2 (HMGA2), as a target of inhibition by RKIP",HMGA2,CL_0000034
24012670,EIF2AK3,I Marker,Muscle cell,Cancer cell,Ventricular,low-throughput + high-throughput, Western blot;TUNEL assay,Calumenin has a role in the alleviation of ER stress in neonatal rat cardiomyocytes,"Upon 7.5-fold overexpres- sion of calumenin using a recombinant adenovirus system, the expression levels of ERS markers (GRP78, p-PERK, and p-elF2 a ) and ER-initiated apoptosis markers (CHOP and p-JNK) were reduced, whereas the survival protein BCL-2 was upregulated during ERS compared to the control.",HSPA5;DDIT3,CL_0000187
24012670,HSPA5,I Marker,Muscle cell,Cancer cell,Ventricular,low-throughput + high-throughput, Western blot;TUNEL assay,Calumenin has a role in the alleviation of ER stress in neonatal rat cardiomyocytes,"Upon 7.5-fold overexpres- sion of calumenin using a recombinant adenovirus system, the expression levels of ERS markers (GRP78, p-PERK, and p-elF2 a ) and ER-initiated apoptosis markers (CHOP and p-JNK) were reduced, whereas the survival protein BCL-2 was upregulated during ERS compared to the control.",DDIT3;EIF2AK3,CL_0000187
24013226,MIR148A,I Marker,Liver carcinoma cell,Cancer cell,Liver,low-throughput,Microscopic observation;Immunofluorescent staining;qPCR;Western blot,MicroRNA-148a suppresses the epithelial-mesenchymal transition and metastasis of hepatoma cells by targeting Met/Snail signaling,"miR-148a was significantly decreased in hepatocellular carcinoma (HCC) tissues, especially in those with the portal vein tumor thrombus.",VIM;CDH2;FN1,CL_0001064
24149370,MIR21,I Marker,Colorectal cancer cell,Cancer cell,Colon,low-throughput,Western blot;Immunofluorescent staining;qPCR,Epigenetic regulation of miR-21 in colorectal cancer,"MIR21 is a marker expressed in Colorectal cancer cell,We demonstrate in a cell-specific manner the occupancy of MIR-21 gene promoter by AP-1 and ETS1 transcription factors and, for the first time, the pattern of histone posttranslational modifications necessary for miR-21 overexpression",PDCD4;ITGB4,
24149370,PDCD4,I Marker,Colorectal cancer cell,Cancer cell,Colon,low-throughput,Western blot;Immunofluorescent staining;qPCR,Epigenetic regulation of miR-21 in colorectal cancer,"PDCD4 is a marker expressed in Colorectal cancer cell,In a subgroup of tumor specimens, ROC curve analysis performed on quantitative PCR data sets for miR-21, ITGβ4, and PDCD4 shows that the combination of high miR-21 with low ITGβ4 and PDCD4 expression is able to predict presence of metastasis",MIR21,
24194920,COL11A1,I Marker,Fibroblast cell,Cancer cell,Pancreas,low-throughput,Immunofluorescence staining;qRT-PCR;Immunohistochemistry;Microscopic observation,Overexpression of COL11A1 by cancer-associated fibroblasts: clinical relevance of a stromal marker in pancreatic cancer,"These results strongly suggest that proCOL11A1 is a specific marker for CAFs, and thus, anti-proCOL11A1 is a powerful new tool for cancer research and clinical diagnostics.",KRT7,CL_0000057
24204964,NKX25,I Marker,Muscle cell,Cancer cell,Heart,low-throughput,qRT-PCR;qPCR,Transcriptome-Guided Functional Analyses Reveal Novel Biological Properties and Regulatory Hierarchy of Human Embryonic Stem Cell-Derived Ventricular Cardiomyocytes Crucial for Maturation,"NKX25 is the marker expressed in Ventricular cell regulated by GATA4,PPARGC1A,ZEB1,HAND1.",PPARGC1A;ZEB1;HAND1;GATA4,CL_0000187
24342878,DECR1,I Marker,Stem cell,Cancer cell,Breast,low-throughput,Immunohistochemistry,Anti-oxidative stress response genes: bioinformatic analysis of their expression and relevance in multiple cancers,The transcription factor NRF2 in cancer cells appears to be affected by NADPH enzyme activity,GABPA,CL_0000034
24474197,NKX25,I Marker,Muscle cell,Cancer cell,Heart,low-throughput,qRT-PCR;RT-qPCR;Flow cytometry;Immunofluorescent staining;,Global DNA methylation and transcriptional analyses of human ESC-derived cardiomyocytes,NKX25 is a marker expressed in Cardiomyocytes.,GATA6;GATA4;HAND2,CL_0000187
24510433,MKI67,I Marker,Glial cell,Cancer cell,Brain,low-throughput,Immunofluorescent staining;Microscopic observation,Detection of primary cilia in human glioblastoma,"Ciliated cells within these tumors co-stained with Ki67, a marker for actively dividing cells, and ZEB1, a transcription factor that is upregulated in GBM and linked to tumor initiation, invasion, and chemoresistance.",ZEB1,CL_0000125
24535435,NOX1,I Marker,Stem cell,Cancer cell,Lung,low-throughput,Gene knock down;Western blot;RT-PCR,Gentian violet induces wtp53 transactivation in cancer cells,We found that GV was able to overcome the inhibitory effect of the NADPH oxidase Nox1 on p53 transcriptional activity. For the first time we show that GV was able to directly induce p53/DNA binding and transcriptional activity.,TP53,CL_0000034
24846193,IL3RA,I Marker,Leukemia cell,Cancer cell,Bone marrow,low-throughput,Flow cytometry,Increased CD34+CD38 -CD123 + cells in myelodysplastic syndrome displaying malignant features similar to those in AML,CD123 may thus be a promising indicator for identifying malignant clonal cells in MDS and a candidate for targeted therapy.,GATA2;GATA1,
25046229,PAX8,I Marker,Parathyroid tumor cell,Cancer cell,Thyroid,low-throughput + high-throughput,Immunohistochemistry;Microscopic observation;DNA-seq,Value of GATA3 immunostaining in the diagnosis of parathyroid tumors,PAX 8 is a marker that has recently been suggested as being useful for assisting in the differential diagnosis of parathyroid tumors,GATA3,
25074367,KRT7,I Marker,Cutaneous neuroendocrine carcinoma cell,Cancer cell,Skin,low-throughput,Immunohistochemistry;Microscopic observation,Merkel-Zell-Karzinom,"CK7 is the marker expressed in Cutaneous neuroendocrine carcinoma cell regulated by CD56,CD57,BCL2,TDT,PAX5",NCAM1;B3GAT1;BCL2;PAX5;DNTT,
25481101,CD44,I Marker,Pancreas cell,Cancer cell,Pancreas,low-throughput,Western blot;Immunofluorescent staining;Flow cytometry;RT-PCR,Pancreatic cancer cells express CD44 variant 9 and multidrug resistance protein 1 during mitosis,"CD44, an important marker for CSCs, is a membrane glycoprotein involved in cell–cell and cell–extracellular matrix adhesion as well as cell migration.",,
26239272,PROM1,I Marker,Stem cell,Cancer cell,Blood vessel,low-throughput,RT-PCR;Immunofluorescent staining;Immunohistochemistry;Microscopic observation,Enrichment and characterization of cancer stem cells from a human non-small cell lung cancer cell line,"CD133, a disputed marker of lung CSCs, was also upregulated.",POU5F1;SOX2,CL_0000034
26571024,CD44,I Marker,Stem cell,Cancer cell,Esophagus,low-throughput,RT-PCR;qPCR;Western blot;Flow cytometry,ICAM1 Is a Potential Cancer Stem Cell Marker of Esophageal Squamous Cell Carcinoma,"ICAM1 and CD44 could have a compensation effect on maintaining the stemness characteristics of ESCC, suggesting that the combination of multi-targeting therapies should be under serious consideration to acquire a more potent therapeutic effect on CSC of ESCC.",ICAM1,CL_0000034
29096246,PROM1,I Marker,Stem cell,Cancer cell,Uterus,low-throughput,RT-PCR;Flow cytometric;Immunofluorescent staining;Western blot;Microscopic observation,Isolation of Stem-Like Cancer Cells in Primary Endometrial Cancer Using Cell Surface Markers CD133 and CXCR4,"The expression of surface markers CD24, CD133, CD47, CD29, CD44, CXCR4, SSEA3 and SSEA4, CD24, and CD133 and chemokine markers such as CXCR4 were measured by flow cytometry.",CXCR4,CL_0000034
29602546,TP53,I Marker,Stem cell,Cancer cell,Uterus,high-throughput,RNA-seq;DNA sequencing;Bioinformatic prediction;,Decreased expression of TFAP2B in endometrial cancer predicts poor prognosis: A study based on TCGA data,"TFAP2B expression may be a potential prognostic molecular marker of poor survival in endometrial cancer, Moreover, the p53/hypoxia, androgen response and notch signaling pathway may be the key pathway regulated by TFAP2B in EC.",TFAP2B,CL_0000034
29846560,CD44,I Marker,Stem cell,Cancer cell,Breast,low-throughput + high-throughput,Flow cytometry;qPCR;Western blot;;Immunofluorescent staining;Microscopic observation,Tocopherols inhibit estrogen-induced cancer stemness and OCT4 signaling in breast cancer,CD44 is one of the key cell surface markers for tumor-initiating cells in breast cancer. ,POU5F1,CL_0000034
29848555,SPDEF,I Marker,Prostate carcinoma cell,Cancer cell,Prostate,low-throughput + high-throughput,qRT-PCR;qPCR;ChIP-qPCR;Western blot;Immunofluorescent staining;Immunohistochemistry;Weston blot;ChIP-seq; Microscopic observation,Prostate-Derived Ets Factor (PDEF) inhibits metastasis by inducing epithelial/luminal 2 phenotype in prostate cancer cells,"PDEF can partially inhibit the progression of prostate tumors by directly regulating the transcription of CK18, and the expression of PDEF/Twist1 can help distinguish between lethal and inert PCA.",KRT18,CL_0001064
29858962,PROM1,I Marker,Liver carcinoma cell,Cancer cell,Liver,low-throughput + high-throughput,qRT-PCR;Western blot;Bioinformatic prediction;Immunofluorescent staining;Microscopic observation,Identification of biomarkers associated with partial epithelial to mesenchymal transition in the secretome of slug over-expressing hepatocellular carcinoma cells,"Through expression of CD133, a stemness marker that exhibited a similar expression pattern in cells with either a complete or a partial EMT phenotype.",ABCG1;ABCG2,CL_0001064
30075800,PECAM1,I Marker,Stem cell,Cancer cell,Breast,low-throughput,Microscopic observation;Flow cytometry;Western blot,Nitric oxide deficiency and endothelial–mesenchymal transition of pulmonary endothelium in the progression of 4T1 metastatic breast cancer in mice,"These changes developed prior to the mesenchymal phenotypic switch in the lungs evidenced by a decrease in vascular endothelial-cadherin (VE-CAD) and CD31 expression, and the increase in pulmonary endothelial permeability.",,CL_0000034
30135192,PROX1,I Marker,Glial cell,Cancer cell,Brain,low-throughput + high-throughput,qRT-PCR;qPCR;Immunofluorescent staining;Immunohistochemistry;Survival analysis;RNA-seq;Weston blot,Reduced expression of PROX1 transitions glioblastoma cells into a mesenchymal gene expression subtype,"The THRAP3 protein was a novel binding partner for PROX1,and suppression of THRAP3 increased both transcript and protein levels of PROX1.",THRAP3,CL_0000125
30135192,CDKN1C,I Marker,Glial cell,Cancer cell,Brain,low-throughput + high-throughput,qRT-PCR;qPCR;Immunofluorescent staining;Immunohistochemistry;Survival analysis;RNA-seq;Weston blot,Reduced expression of PROX1 transitions glioblastoma cells into a mesenchymal gene expression subtype,"We observed decreased p53 (TP53)and increased p21 (CDKN1A), p27 (CDKN1B), and p57 (CDKN1C) protein levels after PROX1 overexpression, while the levels remained unchanged in U-343 MGa-shPROX1 compared to the controls.",PROX1,CL_0000125
